chapter,words,vocab,entro,texts
114,653,389,0.9259892399,Melville: Moby Dick
115,904,444,0.8913097722,Melville: Moby Dick
116,522,306,0.9356468801,Melville: Moby Dick
117,478,246,0.9187688642,Melville: Moby Dick
118,911,423,0.8971643143,Melville: Moby Dick
119,2583,914,0.8670258522,Melville: Moby Dick
120,184,117,0.957587668,Melville: Moby Dick
121,649,314,0.9267521441,Melville: Moby Dick
122,49,33,0.9248150863,Melville: Moby Dick
123,1271,537,0.8884359962,Melville: Moby Dick
124,1223,542,0.8861625534,Melville: Moby Dick
125,1143,497,0.8923099096,Melville: Moby Dick
126,1425,571,0.8786438039,Melville: Moby Dick
127,742,336,0.9098458815,Melville: Moby Dick
128,1434,577,0.8843503406,Melville: Moby Dick
129,598,283,0.9306521533,Melville: Moby Dick
130,1727,694,0.8778829759,Melville: Moby Dick
131,434,261,0.9318880994,Melville: Moby Dick
132,1645,670,0.8802400068,Melville: Moby Dick
133,3638,1217,0.8488542117,Melville: Moby Dick
134,3393,1181,0.8509797129,Melville: Moby Dick
135,4917,1430,0.8394827612,Melville: Moby Dick
1,1584,527,0.8551577985,Austen: Sense and Sensibility
2,1977,550,0.8703934173,Austen: Sense and Sensibility
3,1547,566,0.8771523206,Austen: Sense and Sensibility
4,1956,637,0.8593361914,Austen: Sense and Sensibility
5,1034,433,0.8811659639,Austen: Sense and Sensibility
6,1354,532,0.8654361851,Austen: Sense and Sensibility
7,1298,503,0.8635973003,Austen: Sense and Sensibility
8,1258,474,0.8802873881,Austen: Sense and Sensibility
9,1868,684,0.8668110071,Austen: Sense and Sensibility
10,2066,735,0.8636352118,Austen: Sense and Sensibility
11,1443,555,0.8772228949,Austen: Sense and Sensibility
12,1688,588,0.8676178812,Austen: Sense and Sensibility
13,2123,605,0.8688815236,Austen: Sense and Sensibility
14,1512,537,0.8807102569,Austen: Sense and Sensibility
15,2534,727,0.8587608325,Austen: Sense and Sensibility
16,1990,695,0.86920209,Austen: Sense and Sensibility
17,1632,562,0.8797700863,Austen: Sense and Sensibility
18,1527,578,0.8776677463,Austen: Sense and Sensibility
19,2952,842,0.8533996764,Austen: Sense and Sensibility
20,2471,601,0.8592079358,Austen: Sense and Sensibility
21,2979,853,0.8544248902,Austen: Sense and Sensibility
22,2859,755,0.8525074152,Austen: Sense and Sensibility
23,2404,767,0.8525284157,Austen: Sense and Sensibility
24,2127,668,0.8639034515,Austen: Sense and Sensibility
25,1953,620,0.8589923863,Austen: Sense and Sensibility
26,2552,776,0.8558577018,Austen: Sense and Sensibility
27,2507,779,0.8562408718,Austen: Sense and Sensibility
28,1453,546,0.8755071103,Austen: Sense and Sensibility
29,3861,984,0.8417801191,Austen: Sense and Sensibility
30,3121,832,0.8490174242,Austen: Sense and Sensibility
31,3824,1036,0.8313530529,Austen: Sense and Sensibility
32,2626,792,0.8511900871,Austen: Sense and Sensibility
33,3079,841,0.8499440209,Austen: Sense and Sensibility
34,2674,815,0.8528394443,Austen: Sense and Sensibility
35,2370,667,0.8586585861,Austen: Sense and Sensibility
36,3125,902,0.8471609871,Austen: Sense and Sensibility
37,4532,1044,0.8319969812,Austen: Sense and Sensibility
38,3195,766,0.8500655952,Austen: Sense and Sensibility
39,2012,662,0.8650292781,Austen: Sense and Sensibility
40,2657,698,0.8529349715,Austen: Sense and Sensibility
41,2648,754,0.8489898574,Austen: Sense and Sensibility
42,1825,684,0.8522509647,Austen: Sense and Sensibility
43,3437,960,0.8310106328,Austen: Sense and Sensibility
44,5537,1261,0.8183082298,Austen: Sense and Sensibility
45,2139,698,0.8619211943,Austen: Sense and Sensibility
46,2899,955,0.8539393945,Austen: Sense and Sensibility
47,2378,730,0.8604937891,Austen: Sense and Sensibility
48,1308,491,0.8790663642,Austen: Sense and Sensibility
49,4278,1075,0.832487039,Austen: Sense and Sensibility
50,2491,833,0.8464150636,Austen: Sense and Sensibility
